"nichoir";"pulenv";"echec_fledg";"pop";"an"
"FIL6";6;0;"EMuro";"2004"
"FIL4";6;0;"EMuro";"2005"
"ARI3";9;0;"EMuro";"2004"
"ARI13";7;0;"EMuro";"2005"
"GRA12";5;0;"EMuro";"2004"
"GRA12";2;0;"EMuro";"2005"
"GRA12";1;0;"EMuro";"2006"
"GRA12";1;0;"EMuro";"2007"
"PIR159";7;0;"EPirio";"2004"
"PIR153";8;0;"EPirio";"2005"
"PIR157";8;0;"EPirio";"2004"
"PIR44";8;0;"EPirio";"2004"
"PIR119";5;0;"EPirio";"2005"
"PIR43";6;0;"EPirio";"2006"
"AVA20";10;0;"DMuro";"2004"
"MUR79";9;0;"DMuro";"2004"
"MUR33";8;0;"DMuro";"2007"
"MUR95";4;3;"DMuro";"2007"
"FIL11";2;6;"EMuro";"2004"
"ARI10";6;0;"EMuro";"2004"
"MUR107";7;2;"DMuro";"2005"
"MUR46";9;0;"DMuro";"2004"
"MUR97";8;0;"DMuro";"2006"
"MUR34";8;0;"DMuro";"2004"
"MUR77";9;0;"DMuro";"2004"
"MUR88";8;0;"DMuro";"2004"
"MUR40";8;0;"DMuro";"2004"
"MUR35";9;0;"DMuro";"2006"
"MUR25";3;0;"DMuro";"2004"
"MUR29";7;0;"DMuro";"2004"
"ARI9";2;4;"EMuro";"2004"
"ARI11";4;0;"EMuro";"2006"
"ARI12";4;0;"EMuro";"2007"
"ARI4";3;0;"EMuro";"2008"
"PIR158";6;0;"EPirio";"2004"
"PIR159";4;2;"EPirio";"2005"
"PIR159";4;0;"EPirio";"2006"
"PIR159";6;0;"EPirio";"2007"
"PIR124";5;0;"EPirio";"2004"
"PIR39";6;0;"EPirio";"2005"
"PIR39";6;1;"EPirio";"2006"
"PIR62";7;0;"EPirio";"2004"
"PIR71";6;0;"EPirio";"2004"
"PIR71";4;0;"EPirio";"2005"
"PIR71";6;0;"EPirio";"2006"
"PIR67";6;0;"EPirio";"2007"
"PIR128";9;0;"EPirio";"2005"
"PIR137";6;0;"EPirio";"2005"
"MUR58";5;0;"DMuro";"2004"
"MUR114";8;2;"DMuro";"2005"
"MUR58";4;0;"DMuro";"2006"
"MUR40";9;0;"DMuro";"2008"
"MUR31";8;0;"DMuro";"2008"
"MUR31";8;0;"DMuro";"2007"
"MUR37";6;2;"DMuro";"2005"
"MUR43";9;0;"DMuro";"2008"
"FEL1";5;0;"DMuro";"2004"
"FEL19";7;0;"DMuro";"2004"
"MUR55";8;1;"DMuro";"2005"
"FEL14";7;0;"DMuro";"2004"
"FEL13";10;0;"DMuro";"2005"
"FEL13";10;0;"DMuro";"2006"
"MUR27";10;1;"DMuro";"2004"
"GRA14";4;0;"EMuro";"2004"
"GRA6";4;0;"EMuro";"2005"
"GRA17";3;0;"EMuro";"2006"
"MUR24";7;0;"DMuro";"2004"
"MUR75";6;0;"DMuro";"2004"
"MUR87";2;4;"DMuro";"2004"
"MUR43";8;0;"DMuro";"2009"
"FIL2";5;0;"EMuro";"2006"
"FEL9";7;0;"DMuro";"2004"
"FEL9";7;0;"DMuro";"2005"
"FEL13";7;0;"DMuro";"2004"
"MUR109";6;0;"DMuro";"2004"
"MUR109";8;0;"DMuro";"2005"
"MUR109";7;1;"DMuro";"2006"
"MUR56";5;0;"DMuro";"2004"
"MUR56";6;3;"DMuro";"2005"
"MUR38";6;0;"DMuro";"2004"
"MUR47";8;0;"DMuro";"2004"
"MUR47";10;1;"DMuro";"2005"
"MUR51";8;0;"DMuro";"2004"
"MUR89";6;0;"DMuro";"2004"
"MUR55";7;0;"DMuro";"2004"
"AVA6";10;0;"DMuro";"2004"
"AVA22";5;5;"DMuro";"2005"
"AVA22";4;6;"DMuro";"2006"
"AVA4";6;1;"DMuro";"2004"
"AVA4";7;0;"DMuro";"2005"
"AVA14";8;0;"DMuro";"2004"
"PIR127";7;0;"EPirio";"2004"
"MUR31";5;1;"DMuro";"2005"
"MUR45";10;0;"DMuro";"2005"
"MUR51";8;0;"DMuro";"2006"
"MUR27";7;0;"DMuro";"2005"
"PIR47";5;0;"EPirio";"2004"
"PIR136";8;0;"EPirio";"2004"
"PIR85";5;0;"EPirio";"2005"
"PIR53";6;0;"EPirio";"2004"
"PIR16";7;0;"EPirio";"2004"
"PIR97";5;0;"EPirio";"2005"
"MUR105";10;0;"DMuro";"2005"
"MUR29";9;0;"DMuro";"2006"
"MUR35";9;0;"DMuro";"2007"
"MUR28";11;0;"DMuro";"2007"
"MUR91";10;0;"DMuro";"2004"
"MUR93";7;0;"DMuro";"2005"
"MUR23";8;1;"DMuro";"2008"
"MUR59";6;2;"DMuro";"2007"
"PIR4";5;0;"EPirio";"2004"
"PIR17";6;0;"EPirio";"2005"
"PIR19";6;0;"EPirio";"2006"
"PIR130";6;0;"EPirio";"2007"
"PIR20";5;0;"EPirio";"2008"
"PIR18";2;4;"EPirio";"2009"
"PIR22";3;0;"EPirio";"2010"
"MUR40";0;9;"DMuro";"2005"
"MUR57";7;0;"DMuro";"2005"
"MUR59";7;1;"DMuro";"2006"
"GRA3";3;2;"EMuro";"2005"
"AVA7";9;0;"DMuro";"2005"
"MUR51";8;1;"DMuro";"2005"
